date,open,high,low,close,volume
2023-01-01,102.02085222330571,105.11239319976953,100.99033856448445,103.05136588212699,8635
2023-01-02,101.86136463023956,104.94807264933773,100.83246195720683,102.89026730327228,6840
2023-01-03,101.60482687311008,104.6837610207801,100.57851549055341,102.63113825566676,3902
2023-01-04,101.05238966408999,104.11458329027452,100.03165845536181,102.07312087281817,2951
2023-01-05,97.45848792813692,100.41177544111076,96.47405875714563,98.4429170991282,9436
2023-01-06,97.69332568161265,100.65372949014638,96.70652441210142,98.6801269511239,8131
2023-01-07,94.6417961777284,97.50972939523531,93.68581843855942,95.59777391689737,3125
2023-01-08,95.65713894637523,98.55584012656841,94.69090521964416,96.62337267310629,9682
2023-01-09,93.55764741195252,96.39272763655714,92.61262067041764,94.50267415348739,5651
2023-01-10,92.65028979476872,95.45787433400415,91.71442828169026,93.5861513078472,2251
2023-01-11,93.20731845383949,96.03178264941039,92.26583038864919,94.14880651902979,7140
2023-01-12,91.11969766408436,93.88090062360206,90.19929667757845,92.04009865059025,6931
2023-01-13,90.46293147709488,93.20423243094625,89.54916449247777,91.37669846171201,8890
2023-01-14,89.2038342348262,91.90698072679064,88.3027854041714,90.10488306548102,7819
2023-01-15,89.22447429674611,91.92824624513236,88.32321698061736,90.12573161287486,8133
2023-01-16,86.59011273058984,89.21405554060772,85.71546512725055,87.46476033392914,9052
2023-01-17,86.78804340724197,89.41798411655233,85.91139650413851,87.66469031034542,8662
2023-01-18,89.51134218105574,92.22380709563318,88.60718720952993,90.41549715258155,7413
2023-01-19,87.89108610927448,90.55445235501007,87.00329736069595,88.77887485785301,6718
2023-01-20,87.23863036359346,89.8822252230963,86.35743207709251,88.1198286500944,4596
2023-01-21,84.25504133378999,86.8082244045109,83.40398031021635,85.10610235736362,2504
2023-01-22,83.57754061269796,86.11019335853729,82.7333230307515,84.4217581946444,3695
2023-01-23,83.14493414736391,85.66447760637494,82.30508632769356,83.98478196703425,3414
2023-01-24,83.4643012623596,85.99352251273413,82.62122751223475,84.30737501248444,7529
2023-01-25,81.86909794689382,84.3499797028603,81.04213736157165,82.69605853221597,3480
2023-01-26,82.60663171341734,85.1098629774603,81.7722212920697,83.441042134765,2928
2023-01-27,79.30923244918363,81.71254252340131,78.50812909111107,80.11033580725619,4062
2023-01-28,82.75621042383038,85.26397437606767,81.92028910641795,83.59213174124281,5748
2023-01-29,83.38329404994676,85.91006053630879,82.54103855449274,84.22554954540077,9945
2023-01-30,82.23227705035667,84.72416423370082,81.40164798924197,83.06290611147139,4810
2023-01-31,85.40243664011818,87.99038926557631,84.53978576496547,86.26508751527089,5408
2023-02-01,86.31162884834478,88.92713275284008,85.43979421351303,87.18346348317655,8848
2023-02-02,85.77931881303427,88.37869211039894,84.91286104724604,86.64577657882249,8206
2023-02-03,86.01548595315205,88.6220158305203,85.14664266069596,86.88432924560813,8741
2023-02-04,86.75701265443101,89.3860130378986,85.88067919327514,87.63334611558687,6504
2023-02-05,85.209123157863,87.79121779901037,84.34842494414723,86.0698213715788,2914
